feature,mean,std
age,65.51387371640813,9.419137000334848
sex,0.287087611972908,0.45245225327325445
Jitter(%),0.0062360410749399174,0.0058357393023169045
Jitter(Abs),4.453954992353069e-05,3.5367596661842874e-05
Jitter:RAP,0.0030071138300196633,0.003254822570898091
Jitter:PPQ5,0.003347638190954774,0.003992088317728971
Jitter:DDP,0.009021487874153375,0.00976455060221382
Shimmer,0.03605360061175443,0.027221510707634112
Shimmer(dB),0.32851496613502296,0.2415562882436292
Shimmer:APQ3,0.018193401791566526,0.013921902928414182
Shimmer:APQ5,0.021453792877430634,0.017604964299801937
Shimmer:APQ11,0.029008695652173917,0.020750882089648138
Shimmer:DDA,0.05457998907581385,0.041765730385534
NHR,0.03394445357220887,0.06509305721947257
HNR,21.417299759667905,4.287919418432518
RPDE,0.5465873519772777,0.0951496871298378
DFA,0.6517671553419271,0.06815042659992897
PPE,0.22192386650644527,0.08628971586792475
