feature,mean_importance,std
spread2,0.06622023809523808,0.036525084665298954
spread1,0.05967261904761902,0.03802920476751299
PPE,0.026339285714285714,0.03377058297779094
MDVP:APQ,0.015178571428571427,0.02375179012229616
RPDE,0.013244047619047612,0.0155710519923155
Shimmer:APQ3,0.010714285714285695,0.020638974342364058
NHR,0.001488095238095218,0.006554379626650392
MDVP:Shimmer,0.0010416666666666593,0.00919854729793191
MDVP:PPQ,0.000744047619047609,0.00998799059199396
MDVP:Flo(Hz),-0.00014880952380952328,0.022543046658879067
Shimmer:DDA,-0.001041666666666652,0.011566052114180396
MDVP:Shimmer(dB),-0.0017857142857142941,0.007952612628504406
Shimmer:APQ5,-0.0029761904761905025,0.008727903749175717
Jitter:DDP,-0.003124999999999993,0.01031948717118202
D2,-0.004464285714285736,0.0198648173761491
MDVP:Jitter(Abs),-0.007291666666666693,0.012756891172707015
DFA,-0.007440476190476205,0.00817775694287746
MDVP:Fhi(Hz),-0.008630952380952395,0.017440577766647165
MDVP:Fo(Hz),-0.00952380952380953,0.012769903543407716
HNR,-0.009523809523809552,0.012665430256519781
MDVP:RAP,-0.012053571428571434,0.01069877349286828
MDVP:Jitter(%),-0.015178571428571427,0.012067342221853145
